datetime,patients,day_of_week,day_of_week_name,month,is_weekend,holiday,holiday_name,weather,weather_type,weather_severity,capacity,is_capped,is_emergency,emergency_spike,is_outbreak,outbreak_intensity,is_staff_shortage,staff_shortage_impact,scenario_primary,scenario_code,y_patients_t_plus_1,y_patients_t_plus_24,hour,hour_sin,hour_cos,patients_lag_1,patients_lag_2,patients_lag_3,patients_lag_6,patients_lag_12,patients_lag_24,patients_roll_mean_3,patients_roll_std_3,patients_roll_mean_6,patients_roll_std_6,patients_roll_mean_12,patients_roll_std_12,patients_roll_mean_24,patients_roll_std_24,patients_diff_1,patients_diff_24,trend_feature
2025-01-01 00:00:00,68,2,Wednesday,1,0,1,new_year,1,rainy,0.453,260.0,0,0,0.0,0,0.0,0,0.0,holiday,1,63.0,64.0,0,0.0,1.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,0.0,68.0,0.0,68.0,0.0,68.0,0.0,-5.0,-4.0,0.0
2025-01-01 01:00:00,63,2,Wednesday,1,0,1,new_year,1,rainy,0.65,260.0,0,0,0.0,0,0.0,0,0.0,holiday,1,57.0,62.0,1,0.25881904510252074,0.9659258262890683,68.0,68.0,68.0,68.0,68.0,68.0,68.0,0.0,68.0,0.0,68.0,0.0,68.0,0.0,-5.0,-4.0,0.00011416828405069072
2025-01-01 02:00:00,57,2,Wednesday,1,0,1,new_year,2,cold,0.88,260.0,0,0,0.0,0,0.0,0,0.0,extreme_weather,2,63.0,64.0,2,0.49999999999999994,0.8660254037844387,63.0,68.0,68.0,68.0,68.0,68.0,65.5,3.5355339059327378,65.5,3.5355339059327378,65.5,3.5355339059327378,65.5,3.5355339059327378,-6.0,-4.0,0.00022833656810138144
2025-01-01 03:00:00,63,2,Wednesday,1,0,1,new_year,1,rainy,0.979,260.0,0,0,0.0,0,0.0,0,0.0,extreme_weather,2,69.0,59.0,3,0.7071067811865476,0.7071067811865476,57.0,63.0,68.0,68.0,68.0,68.0,62.666666666666664,5.507570547286101,62.666666666666664,5.507570547286101,62.666666666666664,5.507570547286101,62.666666666666664,5.507570547286101,6.0,-4.0,0.00034250485215207214
2025-01-01 04:00:00,69,2,Wednesday,1,0,1,new_year,1,rainy,0.527,260.0,0,0,0.0,0,0.0,0,0.0,holiday,1,70.0,66.0,4,0.8660254037844386,0.5000000000000001,63.0,57.0,63.0,68.0,68.0,68.0,61.0,3.4641016151377517,62.75,4.499999999999999,62.75,4.499999999999999,62.75,4.499999999999999,6.0,-4.0,0.0004566731362027629
2025-01-01 05:00:00,70,2,Wednesday,1,0,1,new_year,2,cold,0.554,260.0,0,0,0.0,0,0.0,0,0.0,holiday,1,64.0,66.0,5,0.9659258262890683,0.25881904510252074,69.0,63.0,57.0,68.0,68.0,68.0,63.0,5.999999999999998,64.0,4.795831523312719,64.0,4.795831523312719,64.0,4.795831523312719,1.0,-4.0,0.0005708414202534536
2025-01-01 06:00:00,64,2,Wednesday,1,0,1,new_year,2,cold,1.0,260.0,0,0,0.0,0,0.0,0,0.0,extreme_weather,2,73.0,70.0,6,1.0,6.123233995736766e-17,70.0,69.0,63.0,68.0,68.0,68.0,67.33333333333333,3.785938897200181,65.0,4.9396356140913875,65.0,4.9396356140913875,65.0,4.9396356140913875,-6.0,-4.0,0.0006850097043041443
2025-01-01 07:00:00,73,2,Wednesday,1,0,1,new_year,1,rainy,0.832,260.0,0,0,0.0,0,0.0,0,0.0,extreme_weather,2,81.0,71.0,7,0.9659258262890683,-0.25881904510252063,64.0,70.0,69.0,63.0,68.0,68.0,67.66666666666667,3.214550253664321,64.33333333333333,4.718756898449704,64.85714285714286,4.525062483125561,64.85714285714286,4.525062483125561,9.0,-4.0,0.000799177988354835
2025-01-01 08:00:00,81,2,Wednesday,1,0,1,new_year,2,cold,0.85,260.0,0,0,0.0,0,0.0,0,0.0,extreme_weather,2,80.0,79.0,8,0.8660254037844387,-0.4999999999999998,73.0,64.0,70.0,57.0,68.0,68.0,69.0,4.5825756949558425,66.0,5.796550698475774,65.875,5.083235752381126,65.875,5.083235752381126,8.0,-4.0,0.0009133462724055258
2025-01-01 09:00:00,80,2,Wednesday,1,0,1,new_year,2,cold,0.907,260.0,0,0,0.0,0,0.0,0,0.0,extreme_weather,2,84.0,84.0,9,0.7071067811865476,-0.7071067811865475,81.0,73.0,64.0,63.0,68.0,68.0,72.66666666666667,8.504900548115382,70.0,6.572670690061994,67.55555555555556,6.93020762876393,67.55555555555556,6.93020762876393,-1.0,-4.0,0.0010275145564562164
