datetime,lstm_pred,arimax_pred,hybrid_pred,lstm_valid,arimax_valid,validation_note
2026-01-01 00:00:00,121.45392608642578,154.85519468846485,128.1341798068336,True,True,OK
2026-01-01 01:00:00,128.64285278320312,155.4467216204012,134.00362655064276,True,True,OK
2026-01-01 02:00:00,138.7664337158203,155.93920802929816,142.20098857851588,True,True,OK
2026-01-01 03:00:00,138.8518829345703,156.46959238743847,142.37542482514397,True,True,OK
2026-01-01 04:00:00,140.38619995117188,156.98547505967508,143.70605497287252,True,True,OK
2026-01-01 05:00:00,150.1102294921875,157.50690681565496,151.589564956881,True,True,OK
2026-01-01 06:00:00,167.73699951171875,158.0262152095241,165.79484265127982,True,True,OK
2026-01-01 07:00:00,184.31405639648438,158.54633610990098,179.16051233916772,True,True,OK
2026-01-01 08:00:00,200.9801025390625,159.0661461038989,192.5973112520298,True,True,OK
2026-01-01 09:00:00,211.73220825195312,159.58607506651498,201.30298161486553,True,True,OK
2026-01-01 10:00:00,219.71884155273438,160.10595850567745,207.79626494332302,True,True,OK
2026-01-01 11:00:00,225.41136169433594,160.62585936443224,212.45426122835522,True,True,OK
2026-01-01 12:00:00,229.09982299804688,161.1457535575637,215.50900910995026,True,True,OK
2026-01-01 13:00:00,231.10235595703125,161.66565030130218,217.21501482588545,True,True,OK
2026-01-01 14:00:00,231.67120361328125,162.18554606904848,217.7740721044347,True,True,OK
2026-01-01 15:00:00,231.04408264160156,162.7054422102591,217.37635455533308,True,True,OK
2026-01-01 16:00:00,232.22508239746094,163.22533820856324,218.4251335596814,True,True,OK
2026-01-01 17:00:00,229.3416748046875,163.7452342615507,216.22238669606014,True,True,OK
2026-01-01 18:00:00,225.79794311523438,164.26513029361354,213.49138055091024,True,True,OK
2026-01-01 19:00:00,221.34780883789062,164.78502633368316,210.03525233704914,True,True,OK
2026-01-01 20:00:00,216.92919921875,165.30492237068898,206.60434384913782,True,True,OK
2026-01-01 21:00:00,210.22845458984375,165.8248184088672,201.34772735364845,True,True,OK
2026-01-01 22:00:00,203.03878784179688,166.3447144465968,195.69997316275686,True,True,OK
2026-01-01 23:00:00,196.5875244140625,166.86461048449806,190.64294162814963,True,True,OK
2026-01-02 00:00:00,185.86331176757812,154.9070016138436,179.67204973683124,True,True,OK
2026-01-02 01:00:00,185.8346710205078,155.4268976517043,179.75311634674713,True,True,OK
2026-01-02 02:00:00,185.43650817871094,155.9467936895554,179.53856528087982,True,True,OK
2026-01-02 03:00:00,186.7781219482422,156.46668972741017,180.7158355040758,True,True,OK
2026-01-02 04:00:00,189.59381103515625,156.98658576526353,183.0723659811777,True,True,OK
2026-01-02 05:00:00,193.50503540039062,157.50648180311742,186.305324680936,True,True,OK
2026-01-02 06:00:00,196.92112731933594,158.02637784097112,189.142177423663,True,True,OK
2026-01-02 07:00:00,200.99502563476562,158.5462738788249,192.50527528357748,True,True,OK
2026-01-02 08:00:00,208.1267852783203,159.06616991667863,198.314662205992,True,True,OK
2026-01-02 09:00:00,212.18942260742188,159.5860659545324,201.66875127684398,True,True,OK
